# Genomes installed with 'leishref install', most recent last.
# Format: catalog-identifier<TAB>alias    Replay with 'leishref restore'.
GCA_002243465.1	Ld1S
GCF_000002725.2	LmFriedlin
GCF_000002845.2	LbrMHOM_BR_75_M2904
GCF_000002875.2	LiJPCM5
GCF_000227135.1	LdBPK
GCF_000234665.1	LmeMHOM_GT_2001_U1103
GCF_000755165.1	LpaMHOM_PA_94_PSC-1
GCF_017916305.1	LenCUR178
GCF_017916325.1	LmaLSCM1
GCF_017916335.1	LorLSCM4
GCF_017918215.1	LspGhana
GCF_017918225.1	LspNamibia
LtrL590.scaffold.Ld1S	LtrL590.scaffold.Ld1S
Ltropica.Ld1S.scaffold.flye	LtrCDC.scaffold.Ld1S
