# Leishmania reference genome aliases
# Format: accession<TAB>alias
#
# ⚠️  MANUALLY MAINTAINED — Do not auto-regenerate
# Edit this file directly to add/modify aliases and add comments/decisions.
#
# ⚠️  ALIASES ARE NOT STABLE — They may change to fix typos, adopt better conventions,
# or reflect biology more clearly. Accessions (GCA_/GCF_) are stable. Users who need
# reproducibility should record and refer to genomes by accession, not alias.
# See download.rst for details on accessions.txt and 'leishref restore'.
#
# NAMING RULES:
# - Species code: L + 1-2 letter abbreviation
#   * Unambiguous (1 letter): Ld (donovani), Lm (major), Li (infantum)
#   * Ambiguous t-species (2 letters): Ltr (tropica), Lta (tarentolae), Ltu (turanica)
#   * Ambiguous a-species (2 letters): Lad (adleri), Lae (aethiopica), Lam (amazonensis), Lar (arabica)
#   * Other species: L + 2 letters (e.g., Lb=braziliensis, Le=enriettii, Lg=guyanensis)
# - Strain discriminator: appended to species code (e.g., Ld1S, LdBPK, LtrL590)
# - WHO strain nomenclature (MHOM/MCAN/MCEB/MDAS/etc.): kept as-is for tracking provenance
#   * MHOM = Mammalian Human origin (e.g., MHOM/BR/75/M2904: Brazil, 1975, human isolate M2904)
#   * MCAN = Mammalian CANine (dog)
#   * MCEB = Mammalian CEB (other mammal, e.g., Cerdocyon)
#   * MDAS = Mammalian DASyprocta (rodent)
#   * Full format: XXXX/COUNTRY/YEAR/ID; aliases preserve it: LdMHOM_BR_75_M2904
# - RefSeq/GenBank: GCF has no suffix; GCA with same assembly gets _GCA suffix
# - Same strain, several assemblies: suffix with release year (e.g., LpaMHOM_PA_94_PSC-1_2014,
#   LpaMHOM_PA_94_PSC-1_2025) or submitter tag (_USP); same year -> append b, c (…_2017, …_2017b)
# - Never include ATCC numbers, ASM identifiers, or annotation notes (they live in metadata.yaml)
# - Leishmania sp.: Lsp + isolate/place (LspGhana, LspNamibia, LspLEM2494)
# - Special cases: descriptive suffix like _kinetoplast
#
# NOTE: Kinetoplast-only entries (Lad_kinetoplast, Lbr_kinetoplast, Li_kinetoplast)
# are excluded by default from plot commands (plot-sizes, plot-histogram) to avoid
# outliers. Use --include-kinetoplast flag to include them.
#
# Organized by species for readability.

# Leishmania adleri
GCA_902369305.1	Lad_kinetoplast

# Leishmania aethiopica
GCA_000444285.2	LaeL147
GCA_003992445.1	Lae209-622

# Leishmania amazonensis
GCA_000438535.1	Lam_2013
GCA_003992505.1	Lam210-660
GCA_005317125.1	LamUA301
GCA_025688915.1	LamPH8
GCA_030937385.1	LamLV79

# Leishmania arabica
GCA_000410695.2	LarLEM1108

# Leishmania braziliensis
GCA_000002845.2	LbrMHOM_BR_75_M2904_GCA
GCA_000340355.2	LbrMHOM_BR_75_M2903
GCA_003304975.1	LbrIOC-L_3564
GCA_024505685.1	LbrBA788
GCA_041682335.1	LbrMHOM_CO_2013_UN0010
GCA_041682345.1	LbrMHOM_CO_2019_UN0028
GCA_041682365.1	LbrMHOM_CO_2021_UN0066
GCA_044509535.1	LbrMHOM_CO_2013_UN0036
GCA_044509545.1	LbrMHOM_CO_07_LL0249
GCA_900537975.2	LbrMHOM_BR_75_M2904_2023
GCA_902369275.1	Lbr_kinetoplast
GCA_964014045.1	LbrM2904
GCA_964014055.1	LbrM2903
GCF_000002845.2	LbrMHOM_BR_75_M2904

# Leishmania cf. guyanensis/panamensis
GCA_041682205.1	LeiMHOM_CO_2013_UN0043
GCA_041682225.1	LeiMHOM_CO_2018_UN0005

# Leishmania chagasi
GCA_014466935.1	LchMHOM_HD_2017_M32502
GCA_014466975.1	LchMCER_BR_1981_M6445_Salvaterra
GCA_018290745.1	LchMHOM_HD_2017_M32502_IEC_LinfHon_2
GCA_018291365.1	LchMCER_BR_1981_M6445_Salvaterra_IEC_LinfBR_2

# Leishmania donovani
GCA_000227135.2	LdBPK_GCA
GCA_000283395.1	Ld2001
GCA_000316305.1	Ld39
GCA_000470725.1	LdBHU_1220
GCA_001989955.1	LdMHOM_IN_1983_AG83_2017
GCA_001989975.1	LdMHOM_IN_1983_AG83_2017b
GCA_002243465.1	Ld1S
GCA_003719575.1	LdCL
GCA_003730175.1	LdFDAARGOS_360
GCA_003730215.1	LdFDAARGOS_361
GCA_900635355.2	LdHU3_2020
GCA_963920605.1	Ld_Parent1
GCF_000227135.1	LdBPK

# Leishmania enriettii
GCA_000410755.2	LenLEM3045
GCA_017916305.1	LenCUR178_GCA
GCF_017916305.1	LenCUR178

