filename,gff_filename,source,accession,assembly_name,release_version,taxon_id,species,strain,alias,md5sum_fasta,md5sum_gff,scaffold_reference_alias,scaffold_tool_version,cleaned,cleaned_from,derived_from,agp_filename,zenodo_doi,sequencing_technology,bioproject,biosample,raw_reads_accession,num_bases,num_contigs,gc_percent,date_added,notes
Ltropica.Ld1S.scaffold.pecat.fasta,,MyAssembly,,,,,Leishmania tropica,CDC,Ltrop.mine.pecat,779a6fcf0ea8cbddbe6624630f0beb35,,,,,,,,10.5281/zenodo.22710148,,,,,,,,2026-09-11,backfilled from disk
Ltropica.Ld1S.scaffold.flye.fasta,,MyAssembly,,,,,Leishmania tropica,CDC,Ltrop.mine.flye,5618b9abcf657b1b9b85ab7fcb0daaf0,,,,,,,,10.5281/zenodo.22710142,,,,,,,,2026-09-11,backfilled from disk
Ltropica.Ld1S.scaffold.flye.filtered.fasta,,MyAssembly,,,,,Leishmania tropica,CDC,Ltrop.mine.flye_filtered,b387ce1f3ec3021e00fea777623789ff,,,,,,,,10.5281/zenodo.22710156,,,,,,,,2026-09-11,backfilled from disk
Ltropica.Ld1S.scaffold.pecat.filtered.fasta,,MyAssembly,,,,,Leishmania tropica,CDC,Ltrop.mine.pecat_filtered,a9a3d9a674a2ebbccc93f95c3d6c6691,,,,,,,,10.5281/zenodo.22710153,,,,,,,,2026-09-11,backfilled from disk
GCA_000227135.2_ASM22713v2_genomic.fna,GCA_000227135.2_ASM22713v2_genomic.gff,NCBI,GCA_000227135.2,ASM22713v2,,5661,Leishmania donovani,,Ldono.ncbi.GCA_000227135.2,5ebb2f4e843fb5ad59738e2b00ff7f9a,50baacfa6d4ee003d698302a9f127696,,,,,,,,,PRJEA61817,SAMEA2271930,,32444968,36,57.31,2026-09-11,
GCA_000410715.1_Leishmania_tropica_L590-2.0.2_genomic.fna,,NCBI,GCA_000410715.1,Leishmania_tropica_L590-2.0.2,,1206058,Leishmania tropica,L590,Ltrop.ncbi.L590,e9dd43a43334a002bc957a786ec902a5,,,,,,,,,Illumina,PRJNA169676,SAMN02953854,,32989014,448,56.88,2026-09-11,
GCA_001989975.1_ASM198997v1_genomic.fna,,NCBI,GCA_001989975.1,ASM198997v1,,5661,Leishmania donovani,,Ldono.ncbi.GCA_001989975.1,1976333f81ec00f84a4e888e6a24dc98,,,,,,,,,Illumina HiSeq,PRJNA297706,SAMN04145217,,32196393,36,52.68,2026-09-11,
GCA_003067545.1_MHOM_LB_2017_IK_genomic.fna,,NCBI,GCA_003067545.1,MHOM_LB _2017_IK,,5666,Leishmania tropica,,Ltrop.ncbi.MHOM_LB_2017_IK,22e0d2f3ed135640d94588257be4f378,,,,,,,,,Illumina,PRJNA438080,SAMN08693283,,32139927,9499,57.25,2026-09-11,
GCA_003352575.1_MHOM_LB_2015_IK_genomic.fna,,NCBI,GCA_003352575.1,MHOM_LB _2015_IK,,5666,Leishmania tropica,,Ltrop.ncbi.MHOM_LB_2015_IK,f241cdbd77e88ac9d15a17280dba43a3,,,,,,,,,Illumina HiSeq,PRJNA453461,SAMN08978937,,32280712,17013,59.6,2026-09-11,
GCA_003719575.1_ASM371957v1_genomic.fna,GCA_003719575.1_ASM371957v1_genomic.gff,NCBI,GCA_003719575.1,ASM371957v1,,5661,Leishmania donovani,,Ldono.ncbi.GCA_003719575.1,89dbdf0dd945c963164f92fcfbe16ac7,ec6b6d0505165183095938e031ca28b8,,,,,,,,PacBio; Illumina MiSeq,PRJNA450813,SAMN08948132,,32959864,36,59.75,2026-09-11,
GCA_003730215.1_ASM373021v1_genomic.fna,GCA_003730215.1_ASM373021v1_genomic.gff,NCBI,GCA_003730215.1,ASM373021v1,,5661,Leishmania donovani,,Ldono.ncbi.GCA_003730215.1,69c49e24fe332dd6b7363352c78af177,f5b8220b4aec2f860a2d15bcd8aaab4c,,,,,,,,PacBio; Illumina,PRJNA231221,SAMN07312505,,33453722,56,59.72,2026-09-11,
GCA_037178065.1_ASM3717806v1_genomic.fna,,NCBI,GCA_037178065.1,ASM3717806v1,,5671,Leishmania infantum,,Linfa.ncbi.GCA_037178065.1,b9c758c988f7e3f91fe1ee7430d668a3,,,,,,,,,Oxford Nanopore GridION,PRJNA881045,SAMN38142606,,33039312,85,59.6,2026-09-11,
GCA_037178165.1_ASM3717816v1_genomic.fna,,NCBI,GCA_037178165.1,ASM3717816v1,,5671,Leishmania infantum,,Linfa.ncbi.GCA_037178165.1,94e147937aea15c0f7dc410220cbd2a7,,,,,,,,,Oxford Nanopore GridION,PRJNA881045,SAMN38142599,,33353360,107,59.55,2026-09-11,
GCA_037178565.1_ASM3717856v1_genomic.fna,,NCBI,GCA_037178565.1,ASM3717856v1,,5671,Leishmania infantum,,Linfa.ncbi.GCA_037178565.1,1dd1ae56aadb7dcd80c3b3d8bd2b195d,,,,,,,,,Oxford Nanopore GridION,PRJNA881045,SAMN38142576,,33741139,67,59.66,2026-09-11,
GCA_048773145.2_ASM4877314v2_genomic.fna,,NCBI,GCA_048773145.2,ASM4877314v2,,5666,Leishmania tropica,,Ltrop.ncbi.GCA_048773145.2,a4fb7592f8d61c6105cca9c0e268c064,,,,,,,,,Illumina HiSeq,PRJNA1314960,SAMN46286801,,35795895,26199,59.66,2026-09-11,
GCA_900635355.2_LDHU3_new_genomic.fna,GCA_900635355.2_LDHU3_new_genomic.gff,NCBI,GCA_900635355.2,LDHU3_new,,5661,Leishmania donovani,,Ldono.ncbi.LDHU3_new,22caed47485ddb1b1c60d30fe1d5be4e,f745df42cd16d7f2cf0a0ccf1ec9158d,,,,,,,,PACBIO,PRJEB23341,SAMEA104389403,,33035865,36,59.77,2026-09-11,
