accession,chromosome,taxid,origin
CP022616.1,1,5661,GCA_002243465.1
CP022617.1,2,5661,GCA_002243465.1
CP022618.1,3,5661,GCA_002243465.1
CP022619.1,4,5661,GCA_002243465.1
CP022620.1,5,5661,GCA_002243465.1
CP022621.1,6,5661,GCA_002243465.1
CP022622.1,7,5661,GCA_002243465.1
CP022623.1,8,5661,GCA_002243465.1
CP022624.1,9,5661,GCA_002243465.1
CP022625.1,10,5661,GCA_002243465.1
CP022626.1,11,5661,GCA_002243465.1
CP022627.1,12,5661,GCA_002243465.1
CP022628.1,13,5661,GCA_002243465.1
CP022629.1,14,5661,GCA_002243465.1
CP022630.1,15,5661,GCA_002243465.1
CP022631.1,16,5661,GCA_002243465.1
CP022632.1,17,5661,GCA_002243465.1
CP022633.1,18,5661,GCA_002243465.1
CP022634.1,19,5661,GCA_002243465.1
CP022635.1,20,5661,GCA_002243465.1
CP022636.1,21,5661,GCA_002243465.1
CP022637.1,22,5661,GCA_002243465.1
CP022638.1,23,5661,GCA_002243465.1
CP022639.1,24,5661,GCA_002243465.1
CP022640.1,25,5661,GCA_002243465.1
CP022641.1,26,5661,GCA_002243465.1
CP022642.1,27,5661,GCA_002243465.1
CP022643.1,28,5661,GCA_002243465.1
CP022644.1,29,5661,GCA_002243465.1
CP022645.1,30,5661,GCA_002243465.1
CP022646.1,31,5661,GCA_002243465.1
CP022647.1,32,5661,GCA_002243465.1
CP022648.1,33,5661,GCA_002243465.1
CP022649.1,34,5661,GCA_002243465.1
CP022650.1,35,5661,GCA_002243465.1
CP022651.1,36,5661,GCA_002243465.1
CP022652.1,maxicircle,5661,GCA_002243465.1
NC_009386.2,1,5671,GCF_000002875.2
NC_009387.2,2,5671,GCF_000002875.2
NC_009388.2,3,5671,GCF_000002875.2
NC_009389.2,4,5671,GCF_000002875.2
NC_009390.2,5,5671,GCF_000002875.2
NC_009277.2,6,5671,GCF_000002875.2
NC_009391.2,7,5671,GCF_000002875.2
NC_009392.2,8,5671,GCF_000002875.2
NC_009393.2,9,5671,GCF_000002875.2
NC_009394.2,10,5671,GCF_000002875.2
NC_009395.2,11,5671,GCF_000002875.2
NC_009396.2,12,5671,GCF_000002875.2
NC_009397.2,13,5671,GCF_000002875.2
NC_009398.2,14,5671,GCF_000002875.2
NC_009399.2,15,5671,GCF_000002875.2
NC_009400.2,16,5671,GCF_000002875.2
NC_009401.2,17,5671,GCF_000002875.2
NC_009402.2,18,5671,GCF_000002875.2
NC_009403.2,19,5671,GCF_000002875.2
NC_009404.2,20,5671,GCF_000002875.2
NC_009405.2,21,5671,GCF_000002875.2
NC_009406.2,22,5671,GCF_000002875.2
NC_009407.2,23,5671,GCF_000002875.2
NC_009408.2,24,5671,GCF_000002875.2
NC_009409.2,25,5671,GCF_000002875.2
NC_009410.2,26,5671,GCF_000002875.2
NC_009411.2,27,5671,GCF_000002875.2
NC_009412.2,28,5671,GCF_000002875.2
NC_009413.2,29,5671,GCF_000002875.2
NC_009414.2,30,5671,GCF_000002875.2
NC_009415.2,31,5671,GCF_000002875.2
NC_009416.2,32,5671,GCF_000002875.2
NC_009417.2,33,5671,GCF_000002875.2
NC_009418.2,34,5671,GCF_000002875.2
NC_009419.2,35,5671,GCF_000002875.2
NC_009420.2,36,5671,GCF_000002875.2
NW_004057899.1,NW_004057899.1,5671,GCF_000002875.2
NW_004057900.1,NW_004057900.1,5671,GCF_000002875.2
NW_004057938.1,NW_004057938.1,5671,GCF_000002875.2
NW_004057937.1,NW_004057937.1,5671,GCF_000002875.2
NW_004057936.1,NW_004057936.1,5671,GCF_000002875.2
NW_004057901.1,NW_004057901.1,5671,GCF_000002875.2
NW_004057902.1,NW_004057902.1,5671,GCF_000002875.2
NW_004057903.1,NW_004057903.1,5671,GCF_000002875.2
NW_004057904.1,NW_004057904.1,5671,GCF_000002875.2
NW_004057905.1,NW_004057905.1,5671,GCF_000002875.2
NW_004057906.1,NW_004057906.1,5671,GCF_000002875.2
NW_004057935.1,NW_004057935.1,5671,GCF_000002875.2
NW_004057907.1,NW_004057907.1,5671,GCF_000002875.2
NW_004057934.1,NW_004057934.1,5671,GCF_000002875.2
NW_004057908.1,NW_004057908.1,5671,GCF_000002875.2
NW_004057909.1,NW_004057909.1,5671,GCF_000002875.2
NW_004057910.1,NW_004057910.1,5671,GCF_000002875.2
NW_004057933.1,NW_004057933.1,5671,GCF_000002875.2
NW_004057932.1,NW_004057932.1,5671,GCF_000002875.2
NW_004057931.1,NW_004057931.1,5671,GCF_000002875.2
NW_004057911.1,NW_004057911.1,5671,GCF_000002875.2
NW_004057912.1,NW_004057912.1,5671,GCF_000002875.2
NW_004057930.1,NW_004057930.1,5671,GCF_000002875.2
NW_004057913.1,NW_004057913.1,5671,GCF_000002875.2
NW_004057929.1,NW_004057929.1,5671,GCF_000002875.2
NW_004057914.1,NW_004057914.1,5671,GCF_000002875.2
NW_004057915.1,NW_004057915.1,5671,GCF_000002875.2
NW_004057916.1,NW_004057916.1,5671,GCF_000002875.2
NW_004057917.1,NW_004057917.1,5671,GCF_000002875.2
NW_004057918.1,NW_004057918.1,5671,GCF_000002875.2
NW_004057919.1,NW_004057919.1,5671,GCF_000002875.2
NW_004057920.1,NW_004057920.1,5671,GCF_000002875.2
NW_004057921.1,NW_004057921.1,5671,GCF_000002875.2
NW_004057922.1,NW_004057922.1,5671,GCF_000002875.2
NW_004057928.1,NW_004057928.1,5671,GCF_000002875.2
NW_004057927.1,NW_004057927.1,5671,GCF_000002875.2
NW_004057923.1,NW_004057923.1,5671,GCF_000002875.2
NW_004057924.1,NW_004057924.1,5671,GCF_000002875.2
NW_004057925.1,NW_004057925.1,5671,GCF_000002875.2
NW_004057926.1,NW_004057926.1,5671,GCF_000002875.2
